IDENTIFIER	NAME	IMAGE	LEVEL	hp	maxHp	damage	accuracy	cRate	cDamage	bRate	defence	earthReduction	waterReduction	fireReduction	physicalReduction	SKILLS	ITEMS	XP	EUROS	FLEEABLE	DEATH_HP	MUSIC	UNIQUE	LIVING
Gigantic Crayons	Gigantic Crayons	Gigantic Crayons	1	9999	9999	0	999	0	0	50	0	0	0	0	0	{'Fall Down': 100}	{}	0	500	1	0	Crayon Battle	0	0
Water Spider	Water Spider	Water Spider	1	40	40	2	90	10	200	0	0	0	50	0	0	{}	{}	5	0	1	0	None	0	1
Small Jellyfish	Jellyfish	Small Jellyfish	1	30	30	3	90	10	200	0	0	0	50	0	0	{'Zap': 15}	{}	7	0	1	0	None	0	1
Sea Goblin	Sea Goblin	Sea Goblin	1	40	40	4	90	10	200	0	0	0	50	0	0	{}	{}	8	0	1	0	None	0	1
Crab	Crab	Crab	1	25	25	5	90	10	200	0	2	0	50	0	0	{}	{}	10	0	1	0	None	0	1
Sean	Sean	Sean	2	500	500	2	90	10	200	0	0	0	0	0	0	{'Crush': 5, 'Catch Breath': 20}	{}	0	25	1	250	None	0	1
Blood Carp	Blood Carp	Blood Carp	2	60	60	4	90	10	200	0	0	0	50	0	0	{'Bite': 20}	{}	15	0	1	0	None	0	1
Goblin	Goblin	Goblin	2	65	65	4	80	10	200	0	2	0	0	0	0	{}	{'Cudgel': 7}	15	5	1	0	None	0	1
Rumadan Man	Rumadan Man	Rumadan Man	2	100	100	5	90	10	200	0	1	0	0	0	0	{'Fling Dung': 8}	{'Wool Gambeson': 8}	20	5	1	0	None	0	1
Kotor Crab	Kotor Crab	Kotor Crab	3	50	50	8	90	10	200	0	6	0	50	0	0	{}	{}	30	0	1	0	None	0	1
Rumadan Warrior	Rumadan Warrior	Rumadan Warrior	3	100	100	11	90	4	200	0	2	0	0	0	0	{'Deep Thrust': 10}	{'Wool Doublet': 8, 'Long Sword': 3}	40	10	1	0	None	0	1
Ent	Ent	Ent	3	120	120	7	90	10	200	5	4	50	75	-100	0	{'Thorns': 15, 'Poison Ivy': 2}	{}	45	5	1	0	None	0	0
Lina1	Lina	Lina1	4	50	50	10	90	10	200	0	0	50	50	50	80	{'Bite': 75, 'Charge': 25}	{'Cassock': 25, 'Wool Gambeson': 20, 'Wool Doublet': 15, 'Leather Gambeson': 10, 'Leather Doublet': 8, 'Canvas Gambeson': 6, 'Canvas Doublet': 4, 'Magerobe': 2, 'Velvet Doublet': 1}	50	0	1	5	Important Battle	0	1
