NAME	CATEGORY	PERMITTED_WEAPONS	EP_USED	MULTIPLIER	ELEMENT	USER_EFFECTS	TARGET_EFFECTS	TEXT	FLAG
Attack	Damage	{"All"}	0	100	Physical	{}	{}	attacks	None
Defend	Miscellaneous	{"All"}	0	0	Physical	{}	{}	is defending against the next attack	Defending
Deep Thrust	Damage	{"Melee"}	5	150	Physical	{}	{}	deeply thrusts into	None
Rumble Strike	Damage	{"Melee"}	10	200	Physical	{'hp': -20}	{}	strikes	None
Helix Swing	Damage	{"Melee"}	10	175	Physical	{'cDamage': 10, 'accuracy': 2}	{}	swings in a helix at	None
Shield Breaker	Damage	{"Melee"}	15	200	Physical	{}	{'bRate': -3}	bashes into	None
Steadfast Slash	Accurate Damage	{"Sword", "Axe"}	20	250	Physical	{}	{}	unfalteringly slashes	None
Carnivorous Blow	Life Steal Damage	{"Melee"}	15	10	Physical	{}	{}	is reinvigorated after savagely slashing	None
Steel Twister	Multi-Hit Damage	{"Melee"}	25	4	Physical	{}	{}	spins wildly into	None
Bloodrush Crush	Critical Damage	{"Club"}	20	250	Physical	{}	{}	furiously smashes	None
Diamond Cutter	Damage	{"Melee"}	15	200	Physical	{}	{'defence': -10}	cuts through the armour of	None
Aerial Assault	Reduced Accuracy Damage	{"Melee"}	25	300	Physical	{}	{}	leaps up high before unleashing a deadly strike on	None
Expunging Lunge	No Defence Damage	{"Spear", "Sword"}	25	300	Physical	{}	{}	lunges into	None
Reckless Rack	Reduced Accuracy Damage	{"Melee"}	40	500	Physical	{'cDamage': 10}	{}	recklessly demolishes	Recovering
Battery Cage	Multi-Hit Damage	{"Melee"}	50	7	Physical	{}	{}	batters	None
Bladedriver's Barbarity	Miscellaneous	{"Sword"}	40	0	Physical	{'cDamage': 50}	{}	unleashes the savagery of the sword	None
Pummeler's Precision	Miscellaneous	{"Club"}	40	0	Physical	{'cRate': 2, 'accuracy': 3}	{}	channels the mastery of the mace	None
Gashmaster's Grace	Miscellaneous	{"Axe"}	40	0	Physical	{'accuracy': 5, 'cDamage': 25}	{}	embraces the artfulness of the axe	None
Impaler's Impulse	Miscellaneous	{"Spear"}	40	0	Physical	{'cRate': 2, 'cDamage': 25}	{}	harnesses the swiftness of the spear	None
Seal Smash	Damage	{"Club"}	10	100	Ice	{'cDamage': 5}	{}	smashes	None
Seal Sever	Damage	{"Axe"}	10	100	Ice	{'cDamage': 5}	{}	severs	None
Seal Slice	Damage	{"Sword"}	10	100	Ice	{'cDamage': 5}	{}	slices	None
Seal Stab	Damage	{"Spear"}	10	100	Ice	{'cDamage': 5}	{}	stabs	None
Shark Smash	Damage	{"Club"}	10	100	Water	{'defence': 2}	{}	smashes	None
Shark Sever	Damage	{"Axe"}	10	100	Water	{'defence': 2}	{}	severs	None
Shark Slice	Damage	{"Sword"}	10	100	Water	{'defence': 2}	{}	slices	None
Shark Stab	Damage	{"Spear"}	10	100	Water	{'defence': 2}	{}	stabs	None
Salamander Smash	Damage	{"Club"}	10	100	Fire	{'earthReduction': 3, 'waterReduction': 3, 'fireReduction': 3}	{}	smashes	None
Salamander Sever	Damage	{"Axe"}	10	100	Fire	{'earthReduction': 3, 'waterReduction': 3, 'fireReduction': 3}	{}	severs	None
Salamander Slice	Damage	{"Sword"}	10	100	Fire	{'earthReduction': 3, 'waterReduction': 3, 'fireReduction': 3}	{}	slices	None
Salamander Stab	Damage	{"Spear"}	10	100	Fire	{'earthReduction': 3, 'waterReduction': 3, 'fireReduction': 3}	{}	stabs	None
Scorpion Smash	Damage	{"Club"}	10	100	Poison	{'cRate': 1}	{}	smashes	None
Scorpion Sever	Damage	{"Axe"}	10	100	Poison	{'cRate': 1}	{}	severs	None
Scorpion Slice	Damage	{"Sword"}	10	100	Poison	{'cRate': 1}	{}	slices	None
Scorpion Stab	Damage	{"Spear"}	10	100	Poison	{'cRate': 1}	{}	stabs	None
Scarab Smash	Damage	{"Club"}	10	100	Earth	{'maxHp': 10}	{}	smashes	None
Scarab Sever	Damage	{"Axe"}	10	100	Earth	{'maxHp': 10}	{}	severs	None
Scarab Slice	Damage	{"Sword"}	10	100	Earth	{'maxHp': 10}	{}	slices	None
Scarab Stab	Damage	{"Spear"}	10	100	Earth	{'maxHp': 10}	{}	stabs	None
Power Lob	Reduced Accuracy Damage	{"Bow"}	5	250	Physical	{}	{}	launches an arrow, landing on	None
Rock Shot	Damage	{"Bow"}	5	80	Earth	{}	{}	fires a rock at	None
Stiff Shot	Damage	{"Bow"}	10	200	Physical	{'hp': -20}	{}	stiffly shoots	None
Flaming Arrow	Damage	{"Bow"}	10	100	Fire	{}	{}	shoots a flaming arrow at	None
Sap Shot	Life Steal Damage	{"Bow"}	11	10	Physical	{}	{}	shoots an essence-sapping arrow at	None
Bullseye Bolt	Accurate Damage	{"Bow"}	15	250	Physical	{}	{}	fires a steady shot at	None
Freezing Arrow	Damage	{"Bow"}	10	100	Ice	{}	{}	shoots a freezing cold arrow at	None
Piercing Quad	Multi-Hit Damage	{"Bow"}	15	4	Physical	{}	{'defence': -1}	fires a piercing arrow at	None
Death Dart	Damage	{"Bow"}	30	400	Physical	{}	{}	shoots a deadly projectile at	None
Venom Arrow	Damage	{"Bow"}	10	100	Poison	{}	{}	fires a poisonous arrow at	None
Rapid Burst	Multi-Hit Damage	{"Bow"}	50	7	Physical	{}	{}	shoots rapidly at	None
Fireball	Damage	{"Wand"}	10	150	Fire	{}	{}	casts Fireball on	None
Mudslide	Damage	{"Wand"}	10	150	Earth	{}	{'accuracy': -1}	casts Mudslide on	None
Icicles	Multi-Hit Damage	{"Wand"}	20	3	Ice	{}	{}	casts a shard of ice at	None
Quicksand	Damage	{"Wand"}	20	200	Earth	{}	{'defence': -5}	casts Quicksand on	None
Smoulder	Damage	{"Wand"}	20	200	Fire	{}	{'defence': -3}	casts Smoulder on	None
Avalanche	Multi-Hit Damage	{"Wand"}	25	4	Earth	{}	{}	conjures a boulder to fall on	None
Whirlpool	Damage	{"Wand"}	25	300	Water	{}	{}	casts Whirlpool on	None
Hot Coals	Multi-Hit Damage	{"Wand"}	30	4	Fire	{}	{'hp': -5}	conjures a hot coal to burn	None
Poison Cloud	Damage	{"Wand"}	30	0	Poison	{}	{}	casts Poison Cloud	None
Melting Touch	Damage	{"Wand"}	30	300	Fire	{}	{'defence': -15}	casts Melting Touch on	None
Floodtide	Damage	{"Wand"}	35	400	Water	{}	{}	casts Floodtide on	None
